coil_geometry,turns,gap,offset,frequency,q_factor,voltage,current,ferrite,shield,efficiency
circle,8,10,0,80,150,300,3,A1,none,87.6202322639397
circle,8,10,0,80,150,300,3,A1,mu-metal,88.28048028864258
circle,8,10,0,80,150,300,3,B1,none,88.08981855643417
circle,8,10,0,80,150,300,3,B1,mu-metal,88.46779965446741
circle,8,10,0,80,150,300,5,A1,none,88.46935758578336
circle,8,10,0,80,150,300,5,A1,mu-metal,88.4639765762939
circle,8,10,0,80,150,300,5,B1,none,88.35828829335934
circle,8,10,0,80,150,300,5,B1,mu-metal,88.13419323028427
circle,8,10,0,80,150,350,3,A1,none,87.97014435536701
circle,8,10,0,80,150,350,3,A1,mu-metal,88.6235990355338
circle,8,10,0,80,150,350,3,B1,none,88.93001093640144
circle,8,10,0,80,150,350,3,B1,mu-metal,87.82776294687186
circle,8,10,0,80,150,350,5,A1,none,86.9663960084219
circle,8,10,0,80,150,350,5,A1,mu-metal,88.93139124646923
circle,8,10,0,80,150,350,5,B1,none,89.1181591974849
circle,8,10,0,80,150,350,5,B1,mu-metal,88.19836297432144
circle,8,10,0,80,170,300,3,A1,none,87.96379002297451
circle,8,10,0,80,170,300,3,A1,mu-metal,87.83596985413911
circle,8,10,0,80,170,300,3,B1,none,87.86339800671821
circle,8,10,0,80,170,300,3,B1,mu-metal,89.02969418797436
circle,8,10,0,80,170,300,5,A1,none,88.64118578644297
circle,8,10,0,80,170,300,5,A1,mu-metal,87.22957787350707
circle,8,10,0,80,170,300,5,B1,none,88.76900732382428
circle,8,10,0,80,170,300,5,B1,mu-metal,88.64696366992094
circle,8,10,0,80,170,350,3,A1,none,87.71164113624503
circle,8,10,0,80,170,350,3,A1,mu-metal,88.47715665673043
circle,8,10,0,80,170,350,3,B1,none,87.60719549281202
circle,8,10,0,80,170,350,3,B1,mu-metal,88.4349380766659
circle,8,10,0,80,170,350,5,A1,none,88.26862019562351
circle,8,10,0,80,170,350,5,A1,mu-metal,88.14681038381823
circle,8,10,0,80,170,350,5,B1,none,87.24404784901058
circle,8,10,0,80,170,350,5,B1,mu-metal,88.42995567089149
circle,8,10,0,90,150,300,3,A1,none,88.74835197553521
circle,8,10,0,90,150,300,3,A1,mu-metal,88.11147453382115
circle,8,10,0,90,150,300,3,B1,none,87.76144704457508
circle,8,10,0,90,150,300,3,B1,mu-metal,88.7786448060539
circle,8,10,0,90,150,300,5,A1,none,88.62262993807383
